order_id,product,quantity_ordered,price_each,order_date,purchase_address,city,state,total_amount,day_of_week,hour,order_day
176558,USB-C Charging Cable,2,11.95,2019-04-19 08:46:00,"917 1st St, Dallas, TX 75001",Dallas,TX,23.9,Friday,8,2019-04-19
176559,Bose SoundSport Headphones,1,99.99,2019-04-07 22:30:00,"682 Chestnut St, Boston, MA 02215",Boston,MA,99.99,Sunday,22,2019-04-07
176560,Google Phone,1,600.0,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",Los Angeles,CA,600.0,Friday,14,2019-04-12
176560,Wired Headphones,1,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",Los Angeles,CA,11.99,Friday,14,2019-04-12
176561,Wired Headphones,1,11.99,2019-04-30 09:27:00,"333 8th St, Los Angeles, CA 90001",Los Angeles,CA,11.99,Tuesday,9,2019-04-30
176562,USB-C Charging Cable,1,11.95,2019-04-29 13:03:00,"381 Wilson St, San Francisco, CA 94016",San Francisco,CA,11.95,Monday,13,2019-04-29
176563,Bose SoundSport Headphones,1,99.99,2019-04-02 07:46:00,"668 Center St, Seattle, WA 98101",Seattle,WA,99.99,Tuesday,7,2019-04-02
176564,USB-C Charging Cable,1,11.95,2019-04-12 10:58:00,"790 Ridge St, Atlanta, GA 30301",Atlanta,GA,11.95,Friday,10,2019-04-12
176565,Macbook Pro Laptop,1,1700.0,2019-04-24 10:38:00,"915 Willow St, San Francisco, CA 94016",San Francisco,CA,1700.0,Wednesday,10,2019-04-24
176566,Wired Headphones,1,11.99,2019-04-08 14:05:00,"83 7th St, Boston, MA 02215",Boston,MA,11.99,Monday,14,2019-04-08
176567,Google Phone,1,600.0,2019-04-18 17:18:00,"444 7th St, Los Angeles, CA 90001",Los Angeles,CA,600.0,Thursday,17,2019-04-18
176568,Lightning Charging Cable,1,14.95,2019-04-15 12:18:00,"438 Elm St, Seattle, WA 98101",Seattle,WA,14.95,Monday,12,2019-04-15
176569,27in 4K Gaming Monitor,1,389.99,2019-04-16 19:23:00,"657 Hill St, Dallas, TX 75001",Dallas,TX,389.99,Tuesday,19,2019-04-16
